"archive_path","archive_group","archive_stem","numeric_id","archive_role","size_bytes","reason"
"bo/1003910.arc","bo","1003910","","other","320328","not_present_in_gbm_archive_lookup_index"
"bo/1004110.arc","bo","1004110","","other","255744","not_present_in_gbm_archive_lookup_index"
"bo/1008920.arc","bo","1008920","","other","345176","not_present_in_gbm_archive_lookup_index"
"bo/1010010.arc","bo","1010010","","other","299176","not_present_in_gbm_archive_lookup_index"
"bo/1010210.arc","bo","1010210","","other","271464","not_present_in_gbm_archive_lookup_index"
"bo/1010410.arc","bo","1010410","","other","256864","not_present_in_gbm_archive_lookup_index"
"bo/1010510.arc","bo","1010510","","other","259000","not_present_in_gbm_archive_lookup_index"
"bo/1010610.arc","bo","1010610","","other","330976","not_present_in_gbm_archive_lookup_index"
"bo/1010710.arc","bo","1010710","","other","242800","not_present_in_gbm_archive_lookup_index"
"bo/1010810.arc","bo","1010810","","other","214656","not_present_in_gbm_archive_lookup_index"
"bo/1020010.arc","bo","1020010","","other","341552","not_present_in_gbm_archive_lookup_index"
"bo/1020110.arc","bo","1020110","","other","333680","not_present_in_gbm_archive_lookup_index"
"bo/1030010.arc","bo","1030010","","other","332224","not_present_in_gbm_archive_lookup_index"
"bo/1030110.arc","bo","1030110","","other","313776","not_present_in_gbm_archive_lookup_index"
"bo/1030210.arc","bo","1030210","","other","311392","not_present_in_gbm_archive_lookup_index"
"bo/1030310.arc","bo","1030310","","other","313544","not_present_in_gbm_archive_lookup_index"
"bo/1030410.arc","bo","1030410","","other","293392","not_present_in_gbm_archive_lookup_index"
"bo/1030510.arc","bo","1030510","","other","316880","not_present_in_gbm_archive_lookup_index"
"bo/1030610.arc","bo","1030610","","other","361840","not_present_in_gbm_archive_lookup_index"
"bo/1030710.arc","bo","1030710","","other","355136","not_present_in_gbm_archive_lookup_index"
"bo/1040010.arc","bo","1040010","","other","320992","not_present_in_gbm_archive_lookup_index"
"bo/1040120.arc","bo","1040120","","other","422104","not_present_in_gbm_archive_lookup_index"
"bo/1050010.arc","bo","1050010","","other","331968","not_present_in_gbm_archive_lookup_index"
"bo/1060010.arc","bo","1060010","","other","336568","not_present_in_gbm_archive_lookup_index"
"bo/1060110.arc","bo","1060110","","other","310824","not_present_in_gbm_archive_lookup_index"
"bo/1060210.arc","bo","1060210","","other","310824","not_present_in_gbm_archive_lookup_index"
"bo/1060310.arc","bo","1060310","","other","316920","not_present_in_gbm_archive_lookup_index"
"bo/1060410.arc","bo","1060410","","other","326920","not_present_in_gbm_archive_lookup_index"
"bo/1060510.arc","bo","1060510","","other","326920","not_present_in_gbm_archive_lookup_index"
"bo/1060610.arc","bo","1060610","","other","326920","not_present_in_gbm_archive_lookup_index"
"bo/1070010.arc","bo","1070010","","other","347616","not_present_in_gbm_archive_lookup_index"
"bo/1070110.arc","bo","1070110","","other","300312","not_present_in_gbm_archive_lookup_index"
"bo/1070220.arc","bo","1070220","","other","399960","not_present_in_gbm_archive_lookup_index"
"bo/1070310.arc","bo","1070310","","other","343408","not_present_in_gbm_archive_lookup_index"
"bo/1070410.arc","bo","1070410","","other","343408","not_present_in_gbm_archive_lookup_index"
"bo/1070520.arc","bo","1070520","","other","412816","not_present_in_gbm_archive_lookup_index"
"bo/1070610.arc","bo","1070610","","other","285496","not_present_in_gbm_archive_lookup_index"
"bo/1080010.arc","bo","1080010","","other","320688","not_present_in_gbm_archive_lookup_index"
"bo/1080120.arc","bo","1080120","","other","370304","not_present_in_gbm_archive_lookup_index"
"bo/1080210.arc","bo","1080210","","other","347560","not_present_in_gbm_archive_lookup_index"
"bo/1080310.arc","bo","1080310","","other","470664","not_present_in_gbm_archive_lookup_index"
"bo/1080410.arc","bo","1080410","","other","437128","not_present_in_gbm_archive_lookup_index"
"bo/1080520.arc","bo","1080520","","other","403424","not_present_in_gbm_archive_lookup_index"
"bo/1080620.arc","bo","1080620","","other","383992","not_present_in_gbm_archive_lookup_index"
"bo/1080710.arc","bo","1080710","","other","370616","not_present_in_gbm_archive_lookup_index"
"bo/1080820.arc","bo","1080820","","other","369624","not_present_in_gbm_archive_lookup_index"
"bo/1080920.arc","bo","1080920","","other","386504","not_present_in_gbm_archive_lookup_index"
"bo/1081010.arc","bo","1081010","","other","454840","not_present_in_gbm_archive_lookup_index"
"bo/1081110.arc","bo","1081110","","other","334328","not_present_in_gbm_archive_lookup_index"
"bo/1081210.arc","bo","1081210","","other","282752","not_present_in_gbm_archive_lookup_index"
"bo/1081320.arc","bo","1081320","","other","404760","not_present_in_gbm_archive_lookup_index"
"bo/1081410.arc","bo","1081410","","other","361576","not_present_in_gbm_archive_lookup_index"
"bo/1090010.arc","bo","1090010","","other","328496","not_present_in_gbm_archive_lookup_index"
"bo/1090110.arc","bo","1090110","","other","298736","not_present_in_gbm_archive_lookup_index"
"bo/1090210.arc","bo","1090210","","other","291752","not_present_in_gbm_archive_lookup_index"
"bo/1090320.arc","bo","1090320","","other","370144","not_present_in_gbm_archive_lookup_index"
"bo/1090420.arc","bo","1090420","","other","424632","not_present_in_gbm_archive_lookup_index"
"bo/1100010.arc","bo","1100010","","other","343872","not_present_in_gbm_archive_lookup_index"
"bo/1100120.arc","bo","1100120","","other","476992","not_present_in_gbm_archive_lookup_index"
"bo/1110010.arc","bo","1110010","","other","329088","not_present_in_gbm_archive_lookup_index"
"bo/1110120.arc","bo","1110120","","other","395080","not_present_in_gbm_archive_lookup_index"
"bo/1110220.arc","bo","1110220","","other","374472","not_present_in_gbm_archive_lookup_index"
"bo/1110310.arc","bo","1110310","","other","219832","not_present_in_gbm_archive_lookup_index"
"bo/1110410.arc","bo","1110410","","other","473416","not_present_in_gbm_archive_lookup_index"
"bo/1110510.arc","bo","1110510","","other","350512","not_present_in_gbm_archive_lookup_index"
"bo/1110610.arc","bo","1110610","","other","301208","not_present_in_gbm_archive_lookup_index"
"bo/1110720.arc","bo","1110720","","other","424896","not_present_in_gbm_archive_lookup_index"
"bo/1110810.arc","bo","1110810","","other","305800","not_present_in_gbm_archive_lookup_index"
"bo/1110910.arc","bo","1110910","","other","321448","not_present_in_gbm_archive_lookup_index"
"bo/1111010.arc","bo","1111010","","other","363184","not_present_in_gbm_archive_lookup_index"
"bo/1111110.arc","bo","1111110","","other","351184","not_present_in_gbm_archive_lookup_index"
"bo/1111210.arc","bo","1111210","","other","276216","not_present_in_gbm_archive_lookup_index"
"bo/1111310.arc","bo","1111310","","other","336416","not_present_in_gbm_archive_lookup_index"
"bo/1111410.arc","bo","1111410","","other","300256","not_present_in_gbm_archive_lookup_index"
"bo/1111510.arc","bo","1111510","","other","299040","not_present_in_gbm_archive_lookup_index"
"bo/1111610.arc","bo","1111610","","other","250328","not_present_in_gbm_archive_lookup_index"
"bo/1111720.arc","bo","1111720","","other","355208","not_present_in_gbm_archive_lookup_index"
"bo/1111810.arc","bo","1111810","","other","290168","not_present_in_gbm_archive_lookup_index"
"bo/1111910.arc","bo","1111910","","other","258624","not_present_in_gbm_archive_lookup_index"
"bo/1112010.arc","bo","1112010","","other","367032","not_present_in_gbm_archive_lookup_index"
"bo/1120010.arc","bo","1120010","","other","242080","not_present_in_gbm_archive_lookup_index"
"bo/1120120.arc","bo","1120120","","other","463488","not_present_in_gbm_archive_lookup_index"
"bo/1120410.arc","bo","1120410","","other","233328","not_present_in_gbm_archive_lookup_index"
"bo/1120520.arc","bo","1120520","","other","439856","not_present_in_gbm_archive_lookup_index"
"bo/1120610.arc","bo","1120610","","other","350072","not_present_in_gbm_archive_lookup_index"
"bo/1120710.arc","bo","1120710","","other","323304","not_present_in_gbm_archive_lookup_index"
"bo/1130010.arc","bo","1130010","","other","333752","not_present_in_gbm_archive_lookup_index"
"bo/1130110.arc","bo","1130110","","other","343832","not_present_in_gbm_archive_lookup_index"
"bo/1140010.arc","bo","1140010","","other","344440","not_present_in_gbm_archive_lookup_index"
"bo/1140110.arc","bo","1140110","","other","356840","not_present_in_gbm_archive_lookup_index"
"bo/1140210.arc","bo","1140210","","other","353856","not_present_in_gbm_archive_lookup_index"
"bo/1140310.arc","bo","1140310","","other","353344","not_present_in_gbm_archive_lookup_index"
"bo/1140410.arc","bo","1140410","","other","321872","not_present_in_gbm_archive_lookup_index"
"bo/1140510.arc","bo","1140510","","other","282240","not_present_in_gbm_archive_lookup_index"
"bo/1140710.arc","bo","1140710","","other","354496","not_present_in_gbm_archive_lookup_index"
"bo/1140810.arc","bo","1140810","","other","335160","not_present_in_gbm_archive_lookup_index"
"bo/1140910.arc","bo","1140910","","other","333864","not_present_in_gbm_archive_lookup_index"
